ws_100_t-1_dwd_1,ws_100_t-1_dwd_max,ws_100_t-1_dwd_min,ws_100_t-1_dwd_q75,ws_100_t-1_dwd_q25,ws_100_t_dwd_1,ws_100_t_dwd_max,ws_100_t_dwd_min,ws_100_t_dwd_q75,ws_100_t_dwd_q25,ws_100_t+1_dwd_1,ws_100_t+1_dwd_max,ws_100_t+1_dwd_min,ws_100_t+1_dwd_q75,ws_100_t+1_dwd_q25,rad_t-1_dwd,rad_t-1_dwd_max,rad_t-1_dwd_min,rad_t-1_dwd_q75,rad_t-1_dwd_q25,rad_t_dwd,rad_t_dwd_max,rad_t_dwd_min,rad_t_dwd_q75,rad_t_dwd_q25,rad_t+1_dwd,rad_t+1_dwd_max,rad_t+1_dwd_min,rad_t+1_dwd_q75,rad_t+1_dwd_q25,ref_datetime,valid_datetime,hours
5.4742981923951035,6.391588926315308,4.564929485321045,5.949893057346344,5.057870924472809,5.228751725620693,6.2365617752075195,4.36462926864624,5.653200149536133,4.849147319793701,4.792241477304035,5.626845598220825,4.0341668128967285,5.12168949842453,4.469794034957886,0.005250000000000001,0.07,-0.05,0.03125,-0.021249999999999998,-0.0035000000000000005,0.07,-0.06,0.02,-0.0225,-0.006999999999999999,0.05500000000000001,-0.075,0.0125,-0.0225,2024-02-26 00:00:00+00:00,2024-02-26 23:00:00+00:00,23
5.228751725620693,6.2365617752075195,4.36462926864624,5.653200149536133,4.849147319793701,4.792241477304035,5.626845598220825,4.0341668128967285,5.12168949842453,4.469794034957886,4.355731228987376,5.017129421234131,3.703704357147217,4.590178847312927,4.09044075012207,-0.0035000000000000005,0.07,-0.06,0.02,-0.0225,-0.006999999999999999,0.05500000000000001,-0.075,0.0125,-0.0225,-0.010499999999999999,0.04,-0.09,0.005,-0.0225,2024-02-26 00:00:00+00:00,2024-02-26 23:30:00+00:00,23
4.792241477304035,5.626845598220825,4.0341668128967285,5.12168949842453,4.469794034957886,4.355731228987376,5.017129421234131,3.703704357147217,4.590178847312927,4.09044075012207,3.8716059592035084,4.399432897567749,3.2998141050338745,4.061142653226852,3.6797215938568115,-0.006999999999999999,0.05500000000000001,-0.075,0.0125,-0.0225,-0.010499999999999999,0.04,-0.09,0.005,-0.0225,-0.009250000000000001,0.04,-0.075,0.00875,-0.02625,2024-02-26 00:00:00+00:00,2024-02-27 00:00:00+00:00,0
4.355731228987376,5.017129421234131,3.703704357147217,4.590178847312927,4.09044075012207,3.8716059592035084,4.399432897567749,3.2998141050338745,4.061142653226852,3.6797215938568115,3.3874806894196405,3.781736373901367,2.8959238529205322,3.5321064591407776,3.2690024375915527,-0.010499999999999999,0.04,-0.09,0.005,-0.0225,-0.009250000000000001,0.04,-0.075,0.00875,-0.02625,-0.008000000000000002,0.04,-0.06,0.0125,-0.03,2024-02-26 00:00:00+00:00,2024-02-27 00:30:00+00:00,0
3.8716059592035084,4.399432897567749,3.2998141050338745,4.061142653226852,3.6797215938568115,3.3874806894196405,3.781736373901367,2.8959238529205322,3.5321064591407776,3.2690024375915527,3.105830854839749,3.4970710277557373,2.6313127279281616,3.2503844499588013,2.9919397234916687,-0.009250000000000001,0.04,-0.075,0.00875,-0.02625,-0.008000000000000002,0.04,-0.06,0.0125,-0.03,-0.003000000000000001,0.05,-0.065,0.021249999999999998,-0.03,2024-02-26 00:00:00+00:00,2024-02-27 01:00:00+00:00,1
3.3874806894196405,3.781736373901367,2.8959238529205322,3.5321064591407776,3.2690024375915527,3.105830854839749,3.4970710277557373,2.6313127279281616,3.2503844499588013,2.9919397234916687,2.824181020259857,3.2124056816101074,2.366701602935791,2.968662440776825,2.7148770093917847,-0.008000000000000002,0.04,-0.06,0.0125,-0.03,-0.003000000000000001,0.05,-0.065,0.021249999999999998,-0.03,0.001999999999999999,0.06,-0.07,0.03,-0.03,2024-02-26 00:00:00+00:00,2024-02-27 01:30:00+00:00,1
3.105830854839749,3.4970710277557373,2.6313127279281616,3.2503844499588013,2.9919397234916687,2.824181020259857,3.2124056816101074,2.366701602935791,2.968662440776825,2.7148770093917847,2.306057474679417,2.619787812232971,1.8640766143798828,2.4378762543201447,2.1984875351190567,-0.003000000000000001,0.05,-0.065,0.021249999999999998,-0.03,0.001999999999999999,0.06,-0.07,0.03,-0.03,0.00575,0.065,-0.07500000000000001,0.03,-0.025,2024-02-26 00:00:00+00:00,2024-02-27 02:00:00+00:00,2
2.824181020259857,3.2124056816101074,2.366701602935791,2.968662440776825,2.7148770093917847,2.306057474679417,2.619787812232971,1.8640766143798828,2.4378762543201447,2.1984875351190567,1.787933929098977,2.027169942855835,1.3614516258239746,1.9070900678634644,1.6820980608463287,0.001999999999999999,0.06,-0.07,0.03,-0.03,0.00575,0.065,-0.07500000000000001,0.03,-0.025,0.0095,0.07,-0.08,0.03,-0.02,2024-02-26 00:00:00+00:00,2024-02-27 02:30:00+00:00,2
2.306057474679417,2.619787812232971,1.8640766143798828,2.4378762543201447,2.1984875351190567,1.787933929098977,2.027169942855835,1.3614516258239746,1.9070900678634644,1.6820980608463287,1.3932442147698667,1.650084376335144,0.7493806183338165,1.547415480017662,1.3026958256959915,0.00575,0.065,-0.07500000000000001,0.03,-0.025,0.0095,0.07,-0.08,0.03,-0.02,0.009749999999999998,0.085,-0.065,0.035,-0.025,2024-02-26 00:00:00+00:00,2024-02-27 03:00:00+00:00,3
1.787933929098977,2.027169942855835,1.3614516258239746,1.9070900678634644,1.6820980608463287,1.3932442147698667,1.650084376335144,0.7493806183338165,1.547415480017662,1.3026958256959915,0.9985545004407564,1.2729988098144531,0.13730961084365845,1.1877408921718597,0.9232935905456543,0.0095,0.07,-0.08,0.03,-0.02,0.009749999999999998,0.085,-0.065,0.035,-0.025,0.009999999999999998,0.1,-0.05,0.04,-0.03,2024-02-26 00:00:00+00:00,2024-02-27 03:30:00+00:00,3
1.3932442147698667,1.650084376335144,0.7493806183338165,1.547415480017662,1.3026958256959915,0.9985545004407564,1.2729988098144531,0.13730961084365845,1.1877408921718597,0.9232935905456543,1.458465435852607,1.9080215692520142,0.5082071423530579,1.7614974528551102,1.2421448677778244,0.009749999999999998,0.085,-0.065,0.035,-0.025,0.009999999999999998,0.1,-0.05,0.04,-0.03,-0.00375,0.07,-0.07500000000000001,0.025,-0.035,2024-02-26 00:00:00+00:00,2024-02-27 04:00:00+00:00,4
0.9985545004407564,1.2729988098144531,0.13730961084365845,1.1877408921718597,0.9232935905456543,1.458465435852607,1.9080215692520142,0.5082071423530579,1.7614974528551102,1.2421448677778244,1.9183763712644577,2.543044328689575,0.8791046738624573,2.3352540135383606,1.5609961450099945,0.009999999999999998,0.1,-0.05,0.04,-0.03,-0.00375,0.07,-0.07500000000000001,0.025,-0.035,-0.017499999999999998,0.04,-0.1,0.01,-0.04,2024-02-26 00:00:00+00:00,2024-02-27 04:30:00+00:00,4
1.458465435852607,1.9080215692520142,0.5082071423530579,1.7614974528551102,1.2421448677778244,1.9183763712644577,2.543044328689575,0.8791046738624573,2.3352540135383606,1.5609961450099945,2.394374892943435,2.9561773538589478,1.4268639385700226,2.7232752442359924,2.139258697628975,-0.00375,0.07,-0.07500000000000001,0.025,-0.035,-0.017499999999999998,0.04,-0.1,0.01,-0.04,0.16625000000000004,0.36999999999999994,-0.020000000000000004,0.28250000000000003,0.06375,2024-02-26 00:00:00+00:00,2024-02-27 05:00:00+00:00,5
1.9183763712644577,2.543044328689575,0.8791046738624573,2.3352540135383606,1.5609961450099945,2.394374892943435,2.9561773538589478,1.4268639385700226,2.7232752442359924,2.139258697628975,2.8703734146224127,3.3693103790283203,1.974623203277588,3.1112964749336243,2.7175212502479553,-0.017499999999999998,0.04,-0.1,0.01,-0.04,0.16625000000000004,0.36999999999999994,-0.020000000000000004,0.28250000000000003,0.06375,0.35000000000000003,0.7,0.06,0.555,0.16749999999999998,2024-02-26 00:00:00+00:00,2024-02-27 05:30:00+00:00,5
2.394374892943435,2.9561773538589478,1.4268639385700226,2.7232752442359924,2.139258697628975,2.8703734146224127,3.3693103790283203,1.974623203277588,3.1112964749336243,2.7175212502479553,2.860167746742566,3.676905870437622,1.9322428107261658,3.086637645959854,2.6102227866649628,0.16625000000000004,0.36999999999999994,-0.020000000000000004,0.28250000000000003,0.06375,0.35000000000000003,0.7,0.06,0.555,0.16749999999999998,17.693499999999997,21.65,14.405000000000001,19.41375,16.195,2024-02-26 00:00:00+00:00,2024-02-27 06:00:00+00:00,6
