ws_100_t-1_dwd_1,ws_100_t-1_dwd_max,ws_100_t-1_dwd_min,ws_100_t-1_dwd_q75,ws_100_t-1_dwd_q25,ws_100_t_dwd_1,ws_100_t_dwd_max,ws_100_t_dwd_min,ws_100_t_dwd_q75,ws_100_t_dwd_q25,ws_100_t+1_dwd_1,ws_100_t+1_dwd_max,ws_100_t+1_dwd_min,ws_100_t+1_dwd_q75,ws_100_t+1_dwd_q25,rad_t-1_dwd,rad_t-1_dwd_max,rad_t-1_dwd_min,rad_t-1_dwd_q75,rad_t-1_dwd_q25,rad_t_dwd,rad_t_dwd_max,rad_t_dwd_min,rad_t_dwd_q75,rad_t_dwd_q25,rad_t+1_dwd,rad_t+1_dwd_max,rad_t+1_dwd_min,rad_t+1_dwd_q75,rad_t+1_dwd_q25,ref_datetime,valid_datetime,hours
14.887887107001411,15.407410144805908,14.356571197509766,15.102721691131592,14.65365755558014,15.358369906743368,15.807281494140625,14.912362098693848,15.558906078338623,15.148689270019531,16.02968641122182,16.516122817993164,15.512681484222412,16.258769512176514,15.813998937606812,0.003999999999999998,0.06,-0.07500000000000001,0.03,-0.01375,0.008499999999999999,0.06,-0.07,0.02,-0.005,0.0002499999999999985,0.055,-0.07,0.02,-0.01875,2024-02-17 00:00:00+00:00,2024-02-17 23:00:00+00:00,23
15.358369906743368,15.807281494140625,14.912362098693848,15.558906078338623,15.148689270019531,16.02968641122182,16.516122817993164,15.512681484222412,16.258769512176514,15.813998937606812,16.701002915700276,17.224964141845703,16.113000869750977,16.958632946014404,16.479308605194092,0.008499999999999999,0.06,-0.07,0.02,-0.005,0.0002499999999999985,0.055,-0.07,0.02,-0.01875,-0.008,0.05,-0.07,0.02,-0.0325,2024-02-17 00:00:00+00:00,2024-02-17 23:30:00+00:00,23
16.02968641122182,16.516122817993164,15.512681484222412,16.258769512176514,15.813998937606812,16.701002915700276,17.224964141845703,16.113000869750977,16.958632946014404,16.479308605194092,16.838125997119477,17.41406536102295,16.296555519104004,17.04374861717224,16.651659727096558,0.0002499999999999985,0.055,-0.07,0.02,-0.01875,-0.008,0.05,-0.07,0.02,-0.0325,0.003999999999999998,0.07,-0.07500000000000001,0.03125,-0.02125,2024-02-17 00:00:00+00:00,2024-02-18 00:00:00+00:00,0
16.701002915700276,17.224964141845703,16.113000869750977,16.958632946014404,16.479308605194092,16.838125997119477,17.41406536102295,16.296555519104004,17.04374861717224,16.651659727096558,16.97524907853868,17.603166580200195,16.48011016845703,17.128864288330078,16.824010848999023,-0.008,0.05,-0.07,0.02,-0.0325,0.003999999999999998,0.07,-0.07500000000000001,0.03125,-0.02125,0.015999999999999997,0.09,-0.08,0.0425,-0.01,2024-02-17 00:00:00+00:00,2024-02-18 00:30:00+00:00,0
16.838125997119477,17.41406536102295,16.296555519104004,17.04374861717224,16.651659727096558,16.97524907853868,17.603166580200195,16.48011016845703,17.128864288330078,16.824010848999023,17.12517420450846,17.81782341003418,16.708653450012207,17.26228356361389,16.950593948364258,0.003999999999999998,0.07,-0.07500000000000001,0.03125,-0.02125,0.015999999999999997,0.09,-0.08,0.0425,-0.01,-0.0015000000000000013,0.065,-0.07500000000000001,0.02125,-0.026250000000000002,2024-02-17 00:00:00+00:00,2024-02-18 01:00:00+00:00,1
16.97524907853868,17.603166580200195,16.48011016845703,17.128864288330078,16.824010848999023,17.12517420450846,17.81782341003418,16.708653450012207,17.26228356361389,16.950593948364258,17.275099330478245,18.032480239868164,16.937196731567383,17.395702838897705,17.077177047729492,0.015999999999999997,0.09,-0.08,0.0425,-0.01,-0.0015000000000000013,0.065,-0.07500000000000001,0.02125,-0.026250000000000002,-0.019,0.04,-0.07,0.0,-0.0425,2024-02-17 00:00:00+00:00,2024-02-18 01:30:00+00:00,1
17.12517420450846,17.81782341003418,16.708653450012207,17.26228356361389,16.950593948364258,17.275099330478245,18.032480239868164,16.937196731567383,17.395702838897705,17.077177047729492,16.981500215000576,17.938523292541504,16.280474185943604,17.40470242500305,16.458794832229614,-0.0015000000000000013,0.065,-0.07500000000000001,0.02125,-0.026250000000000002,-0.019,0.04,-0.07,0.0,-0.0425,-0.008749999999999999,0.05,-0.07,0.02,-0.037500000000000006,2024-02-17 00:00:00+00:00,2024-02-18 02:00:00+00:00,2
17.275099330478245,18.032480239868164,16.937196731567383,17.395702838897705,17.077177047729492,16.981500215000576,17.938523292541504,16.280474185943604,17.40470242500305,16.458794832229614,16.687901099522907,17.844566345214844,15.623751640319824,17.4137020111084,15.840412616729736,-0.019,0.04,-0.07,0.0,-0.0425,-0.008749999999999999,0.05,-0.07,0.02,-0.037500000000000006,0.001500000000000001,0.06,-0.07,0.04,-0.0325,2024-02-17 00:00:00+00:00,2024-02-18 02:30:00+00:00,2
16.981500215000576,17.938523292541504,16.280474185943604,17.40470242500305,16.458794832229614,16.687901099522907,17.844566345214844,15.623751640319824,17.4137020111084,15.840412616729736,16.318313320477802,17.072509765625,15.47269868850708,16.816801071166992,15.764511346817017,-0.008749999999999999,0.05,-0.07,0.02,-0.037500000000000006,0.001500000000000001,0.06,-0.07,0.04,-0.0325,0.0052499999999999995,0.08,-0.065,0.042499999999999996,-0.037500000000000006,2024-02-17 00:00:00+00:00,2024-02-18 03:00:00+00:00,3
16.687901099522907,17.844566345214844,15.623751640319824,17.4137020111084,15.840412616729736,16.318313320477802,17.072509765625,15.47269868850708,16.816801071166992,15.764511346817017,15.9487255414327,16.300453186035156,15.321645736694336,16.219900131225586,15.688610076904297,0.001500000000000001,0.06,-0.07,0.04,-0.0325,0.0052499999999999995,0.08,-0.065,0.042499999999999996,-0.037500000000000006,0.009,0.1,-0.06,0.045,-0.0425,2024-02-17 00:00:00+00:00,2024-02-18 03:30:00+00:00,3
16.318313320477802,17.072509765625,15.47269868850708,16.816801071166992,15.764511346817017,15.9487255414327,16.300453186035156,15.321645736694336,16.219900131225586,15.688610076904297,15.58002195093367,15.908320426940918,15.051827430725098,15.775331139564514,15.376551151275635,0.0052499999999999995,0.08,-0.065,0.042499999999999996,-0.037500000000000006,0.009,0.1,-0.06,0.045,-0.0425,-0.0022500000000000003,0.095,-0.07,0.0325,-0.0425,2024-02-17 00:00:00+00:00,2024-02-18 04:00:00+00:00,4
15.9487255414327,16.300453186035156,15.321645736694336,16.219900131225586,15.688610076904297,15.58002195093367,15.908320426940918,15.051827430725098,15.775331139564514,15.376551151275635,15.211318360434639,15.51618766784668,14.78200912475586,15.330762147903442,15.064492225646973,0.009,0.1,-0.06,0.045,-0.0425,-0.0022500000000000003,0.095,-0.07,0.0325,-0.0425,-0.013500000000000002,0.09,-0.08,0.02,-0.0425,2024-02-17 00:00:00+00:00,2024-02-18 04:30:00+00:00,4
15.58002195093367,15.908320426940918,15.051827430725098,15.775331139564514,15.376551151275635,15.211318360434639,15.51618766784668,14.78200912475586,15.330762147903442,15.064492225646973,14.627895090315079,15.01439905166626,14.173313617706299,14.774894118309021,14.460219979286194,-0.0022500000000000003,0.095,-0.07,0.0325,-0.0425,-0.013500000000000002,0.09,-0.08,0.02,-0.0425,0.001749999999999998,0.08499999999999999,-0.08,0.03125,-0.027500000000000004,2024-02-17 00:00:00+00:00,2024-02-18 05:00:00+00:00,5
